,Name,Type,Consistent,Bright,Evolves,Dynamic,Consistency,Brightness,Evolution,Dynamics,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,OscillatorWaveShape2,OscillatorOct2,OscillatorSemi2,OscillatorDetune2,AttackTime,DecayTime,SustainLevel,SustainTime,ReleaseTime,AttackTime2,DecayTime2,SustainLevel2,SustainTime2,ReleaseTime2,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
0,"17_05_808_32_[0, 0, 0]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.35814183596690713,0.6698641567762653,-0.06306253855301547,0.5965241577749246,-0.022477616139969344,0,0,-2,0,0.594577559984371,-0.05469670560864877,0.5867259353044323,0.8153956386504633,0.9415097793297261,0.725558949839014,-0.002253065222655728,0.4286931957397566,0.44072114022751546,0.9213313110980392,0.2847678033075566,0.2844910980700769,0.3508065161126537,0,True,0.08605843175456064
1,"17_05_808_32_[0, 0, 1]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.3422614739818687,0.7046754038032533,0.0,0.6461329607812246,-0.004783703872624795,0,0,-2,0,0.6098627923657784,-0.03863452166132523,0.6328125,0.7369812137908266,0.9457881614946846,0.7638876438,-0.08096644326822551,0.38845412041175065,0.5090909004,0.9558309127260237,0.27599835239600296,0.2900240421,0.2893726946287141,0,True,0.1639999896
2,"17_05_808_32_[0, 0, 2]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.3278508048191173,0.7249325098012515,0.04304336308832218,0.6170169436858568,-0.045721325891031325,0,0,-2,0,0.6346393085410668,-0.013321531452141563,0.7160854105840462,0.7705511370301665,0.9398946586053126,0.7911559767852423,-0.01772452435386839,0.44774209906924944,0.5747980885109424,0.9730614230225451,0.30183509819573445,0.3262479407467208,0.3132784185117769,0,True,0.2187009572043933
3,"17_05_808_32_[0, 1, 0]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.3218180558879523,0.7505584955,-0.050588686476647805,0.5870654546492594,0.0,0,0,-2,0,0.6034994265505969,0.0,0.5629735470278276,0.7840589751981296,1.0,0.7106256057200839,-0.030421547158042985,0.4727272689,0.4719796005833636,0.9451599046481691,0.3270148933,0.28691240396456147,0.3226153970461784,0,True,0.1453263550864102
4,"17_05_808_32_[0, 1, 1]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.3485491535068386,0.7505584955,0.0,0.637104770163527,0.0,0,0,-2,0,0.570456984871364,0.0,0.6328125,0.7308984731213897,1.0,0.7638876438,-0.04151527122762279,0.4727272689,0.5090909004,0.9299527278143054,0.3270148933,0.2900240421,0.32049324188535433,0,True,0.1639999896
5,"17_05_808_32_[0, 1, 2]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.35965418468518323,0.7505584955,0.049182123480920936,0.6081600735002033,0.0,0,0,-2,0,0.6180944407607238,0.0,0.6635265504343455,0.7478843040556624,1.0,0.779334134490632,-0.05891789009685782,0.4727272689,0.5255087660646218,0.9991782050551076,0.3270148933,0.29995308393800746,0.31771084864561366,0,True,0.24285515403572153
6,"17_05_808_32_[0, 2, 0]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.3084871870368368,0.8127722688783791,-0.05202012535677201,0.6535851153355181,0.013194744959632836,0,0,-2,0,0.6289650986327024,0.04730544027073053,0.6169745811982764,0.7556671748489823,1.0512070023578712,0.6750471226060752,-0.04367590916843285,0.5370402630715596,0.44618365375558144,0.9148443490088339,0.33255785319366854,0.2304412724585375,0.3546254052153851,0,True,0.13382708674782562
7,"17_05_808_32_[0, 2, 1]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.3340812946031668,0.8044205772053552,0.0,0.5973175016365719,0.003158900585276758,0,0,-2,0,0.6095551607714497,0.004495404253158859,0.6328125,0.7554087055170879,1.0521165881695882,0.7638876438,-0.0844972384160296,0.5586169948086723,0.5090909004,0.9625406338344524,0.41585485398422994,0.2900240421,0.349138863714563,0,True,0.1639999896
8,"17_05_808_32_[0, 2, 2]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.3527023320461678,0.7821563263904164,0.055337122341261834,0.6442990370190278,0.05391877876564852,0,0,-2,0,0.5594663863890246,0.0377549381356636,0.7180792369443934,0.7977665865429064,1.0646778545359212,0.8290250931800413,-0.07062995833581859,0.5540974541670214,0.5154528381557644,0.9593025734062379,0.3351865773123283,0.30521242828071143,0.2804250506315936,0,True,0.23502794564101903
9,"17_05_808_32_[1, 0, 0]",808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.3615562618,0.7157856295539987,-0.07899493051376946,0.6607554555,-0.08088606897386652,0,0,-2,0,0.6384437084,-0.031295534510412996,0.5938579021261048,0.8185710907,0.9622625119184156,0.7290858946706671,0.0,0.3991451268186268,0.4846451938807043,1.0,0.31501551720048754,0.20362434572601687,0.3700000048,0,True,0.10975481625660669
